id,name
7c3b2c35-d850-4426-b7f9-179ce6bc387e,Health Informatics
73bb5823-a0dc-4058-9715-da9b976346f7,Health Information Management
2291fbf6-09f6-4073-9b66-0b0242a8cfc9,Health Policy
259a6106-6006-4ec2-a2e9-a297bc39874f,Hepatology
a3aba8c0-1b68-4419-ba6b-dadb524ff2ec,History
d1f979a0-398d-4e05-a4c0-9f0d9ec19953,Human-Computer Interaction
85171e5a-4d50-4365-a749-b9b0760f3377,Immunology
21d49e7a-4343-40de-a43b-2de5b20d7227,Immunology and Allergy
cc326c50-3bda-4094-bddc-1db9d5806ad3,Immunology and Microbiology (miscellaneous)
f1551373-19ac-4fe3-b323-0b50e7d43f48,Industrial and Manufacturing Engineering
9c5f849e-6a51-4c5b-bd26-4a36cf0d7157,Infectious Diseases
3f44c8a4-f881-4cb9-84e9-1996b1145565,Information Systems
f4e07c1e-dc45-4b8e-944b-e2ee149b0065,Insect Science
05502c08-5fb8-4243-83f0-ad139907fea8,Instrumentation
fe8465a8-5c2c-4d52-8293-8ba286715b49,"Issues, Ethics and Legal Aspects"
df0452e4-257a-4e29-afe7-87b3b80c8990,Leadership and Management
a68a3e42-5ff5-475c-a72f-4294146346ab,Library and Information Sciences
d9adb0bb-6703-4092-9783-d30262fc314e,Linguistics and Language
c95ecb1b-7442-440c-b3cd-b6c0cb13250c,Logic
1c7eb952-885a-4c65-96e4-5205c624a393,Management Science and Operations Research
6b4e202b-7d50-40c2-82f8-6ff8f586825b,Management of Technology and Innovation
0ab24569-6f00-4c14-a8e8-05b085bc8dbf,"Management, Monitoring, Policy and Law"
5f62e9e5-8558-45d5-9437-1b8b93f6cc5b,Marketing
78ca5233-d74e-4b66-94b9-7661f7bedac0,Materials Chemistry
54622b0f-73c2-4ce9-a5b2-9a19d48a0cd4,Materials Science (miscellaneous)
30e51f8a-4bb1-4ae1-ae85-c9d5de51e719,Mathematical Physics
c3457945-0753-490d-9c73-1059e296d5a9,Mathematics (miscellaneous)
7ffef889-5a0f-40e4-bfce-ef607957ed3b,Mechanical Engineering
d1f38388-aa7c-4869-b7c5-4141e7717594,Mechanics of Materials
2819f992-68b1-4025-9fac-076401886235,Medical and Surgical Nursing
cb42192b-1e34-407b-bf1f-94746e393a4f,Medicine (miscellaneous)
900da46e-cda5-43f8-b55d-f54393ddc244,Microbiology
64567f2c-f0fe-4624-bc7e-bfb57dfa98bc,Microbiology (medical)
059dda06-fd3f-4d6e-b759-f4a84f8cb156,Modeling and Simulation
68c89766-1cf4-444e-bc62-7aa19d78d911,Molecular Biology
b4d54498-f803-42ac-b523-aa98d6f45607,Molecular Medicine
09cd5b56-c84d-4a43-8eca-043dfab90531,Multidisciplinary
d797cb2b-163a-45ce-950d-05c596ffb8c0,Nanoscience and Nanotechnology
991a8bf6-d90e-4f39-9ef9-93cffc6eb2d2,Neurology
2cada22d-baab-4c97-a997-b1d3da959f0a,Neurology (clinical)
e8ea1205-1c28-4455-9021-8a6aa8ff633d,Nuclear Energy and Engineering
4ef8c87a-dbcb-457c-920d-8d888df29763,Nuclear and High Energy Physics
f64f55b1-95d9-48dd-a08a-8c675bced1bf,Numerical Analysis
50ca2152-2dd7-4614-ab43-14b260c96d7b,Nutrition and Dietetics
76f9caa8-d0f6-4958-8005-6254da1dd419,Obstetrics and Gynecology
475f024f-dc88-4010-9550-89c822847def,Ocean Engineering
